area,PIB_par_hbt,government,name,car_code,memberships,nombre_appartenances,population,religion_principale,langue_principale,PIB_national,Soldats_2017,DepensesMilitairesPIB_2018,MortsGuerre_2018,Exportations_2018,Importations_2018
0.44,0.0,monarchical sacerdotal state,Holy See,V,IAEA\ICFTU\IOM\ITU\Intelsat\OSCE\OAS\UN\UNHCR\UPU\WIPO\WToO,11,840,Roman Catholic,,0.0,0,0.0,0,0.0,0.0
18.0,0.0,dependent territory of Spain,Ceuta,CEU,,0,82376,,,0.0,0,0.0,0,0.0,0.0
12.0,0.0,dependent territory of Spain,Melilla,MEL,,0,73460,,,0.0,0,0.0,0,0.0,0.0
103000.0,5000.0,republic,Iceland,IS,BIS\CE\CCC\ECE\EBRD\EFTA\FAO\IAEA\IBRD\ICC\ICAO\ICFTU\Interpol\IDA\IFRCS\IFC\ILO\IMO\Inmarsat\IMF\IOC\ISO\ICRM\ITU\Intelsat\MTCR\NC\NIB\ANC\NATO\EN\OECD\OSCE\PCA\UN\UNESCO\UNU\UPU\WEU\WHO\WIPO\WMO\WTrO,42,270292,Protestant,Icelandic,1.35146E9,0,0.0,0,292.2900996,296.5964606
70280.0,54600.0,republic,Ireland,IRL,BIS\CE\CCC\ECE\EBRD\EIB\ESA\EU\FAO\IAEA\IBRD\ICC\ICAO\Interpol\IDA\IEA\IFRCS\IFC\IFAD\ILO\IMO\IMF\IOC\ISO\ICRM\ITU\Intelsat\MTCR\EN\NSG\OECD\OSCE\UN\UNCRO\UNESCO\UNFICYP\UNIDO\UNIFIL\UNIKOM\MINURSO\UNMIH\UNPREDEP\UNPROFOR\UNTSO\UPU\WEU\WHO\WIPO\WMO\WTrO\ZC,50,3566833,Roman Catholic,English,1.947490818E11,9000,0.330585082043917,0,213.5019453,211.3595171
60.0,380.0,republic,San Marino,RSM,CE\ECE\ICAO\ICFTU\IFRCS\ILO\IMF\IOC\IOM\ICRM\ITU\NAM\OSCE\UN\UNESCO\UPU\WHO\WIPO\WToO,18,24521,Roman Catholic,Italian,9317980.0,0,0.0,0,0.0,0.0
117.0,0.0,British crown dependency,Jersey,GBJ,,0,87848,,,0.0,0,0.0,0,0.0,0.0
320.0,4400.0,parliamentary democracy,Malta,M,C\CE\CCC\ECE\EBRD\EU\FAO\G-77\IBRD\ICAO\ICFTU\Interpol\IFRCS\IFAD\ILO\IMO\Inmarsat\IMF\IOC\IOM\ISO\ICRM\ITU\Intelsat\NAM\ANC\OSCE\PFP\PCA\UN\UNESCO\UNIDO\UPU\WCL\WHO\WIPO\WMO\WToO\WTrO,38,375576,Roman Catholic,Maltese,1.6525344E9,2000,0.487919470212535,0,122.7937122,185.2325386
588.0,780.0,British crown dependency,Man,GBM,,0,73837,,English,5.759286E7,0,0.0,0,0.0,0.0
33700.0,10400.0,republic,Moldova,MD,BSEC\CIS\CE\CCC\ECE\EBRD\FAO\IBRD\ICAO\Interpol\IDA\IFC\ILO\IMF\IOC\IOM\ITU\Intelsat\ANC\OSCE\PFP\UN\UNESCO\UNIDO\UPU\WHO\WIPO\WMO\WToO\WTrO,29,4463847,Christian Orthodox,Romanian,4.64240088E10,7000,0.348808037437052,0,573.3262712,741.3256113
92080.0,116200.0,republic,Portugal,P,AfDB\BIS\CE\CCC\ECE\ECLAC\EBRD\EIB\CERN\EU\FAO\IADB\IAEA\IBRD\ICC\ICAO\ICFTU\Interpol\IDA\IEA\IFRCS\IFC\IFAD\ILO\IMO\Inmarsat\IMF\IOC\IOM\ISO\ICRM\ITU\Intelsat\LAIA\MTCR\NAM\ANC\NATO\EN\NSG\OECD\OSCE\OAS\PCA\UN\UNAVEM-III\UNCRO\UNESCO\UNIDO\UNPREDEP\UNPROFOR\UPU\WEU\WCL\WFTU\WHO\WIPO\WMO\WToO\WTrO\ZC,60,9865114,Roman Catholic,Portuguese,1.1463262468E12,52000,1.77952935913835,0,281.8154537,222.2493155
62049.0,0.0,territory of Norway administered by the Ministry of Industry,Svalbard,SVAX,,0,2116,,,0.0,0,0.0,0,0.0,0.0
